index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
CXorf38,9.50E-06,1.31E-05,7.77E-06,6.08E-06,2.78E-05,9.62E-06,1.26E-05,1.24E-05,1.24E-05,0,1.94E-05,3.77E-05,7.66E-06,4.63E-05,3.01E-05,2.74E-05,0,7.01E-05,2.51E-05
MORF4L1,0.000156812,0.000358685,0.000245967,9.48E-05,0.000227539,0.000323763,0.000372333,0.000361383,0.000466047,0.000482669,0.000305107,0.000252776,0.000364015,0.000211773,0.000255866,0.000219026,0.00018599,0.000203405,0.000273399
WDR53,1.43E-05,3.76E-06,1.04E-05,3.04E-06,1.64E-06,6.41E-06,9.84E-06,9.27E-06,0,2.01E-05,4.84E-06,3.43E-06,3.83E-06,1.32E-05,0,7.20E-06,0,3.51E-06,1.12E-05
DMWD,0,9.39E-06,5.18E-06,6.08E-07,0,9.62E-06,5.62E-06,6.18E-06,4.35E-05,2.01E-05,0,8.57E-07,3.83E-06,0,0,1.44E-06,0,0,5.58E-06
SLC52A2,4.28E-05,2.44E-05,1.81E-05,2.43E-06,2.29E-05,1.92E-05,1.12E-05,3.09E-05,6.21E-06,2.01E-05,9.69E-06,2.83E-05,2.68E-05,1.32E-05,1.51E-05,2.74E-05,2.32E-05,1.40E-05,8.93E-05
PIGP,7.60E-05,3.19E-05,1.81E-05,3.77E-05,2.46E-05,2.24E-05,3.23E-05,1.24E-05,3.11E-05,1.01E-05,3.39E-05,3.34E-05,6.51E-05,5.96E-05,1.51E-05,1.73E-05,5.81E-05,1.40E-05,3.63E-05
IKZF1,6.65E-05,0,0,1.22E-06,5.89E-05,6.41E-06,1.41E-06,0,0,0,0.000135603,6.08E-05,1.15E-05,0.000397075,0.000270917,8.21E-05,0.00010462,6.66E-05,0
PCYT2,1.90E-05,3.76E-06,3.62E-05,6.20E-05,4.91E-06,2.56E-05,5.62E-06,3.09E-06,2.49E-05,0,0,6.00E-06,0,6.62E-06,3.01E-05,1.30E-05,0,3.51E-06,3.07E-05
BCAP31,9.50E-05,7.70E-05,0.00015017,6.20E-05,0.00017843,0.000176306,0.000198109,0.000206946,0.000111851,0.000191057,0.000227619,0.000241637,0.000114952,0.000138976,9.03E-05,0.000113836,5.81E-05,0.000196391,0.000212024
GNB1L,4.75E-06,5.63E-06,5.18E-06,4.26E-06,1.15E-05,1.28E-05,5.62E-06,2.16E-05,1.24E-05,1.01E-05,4.84E-06,5.14E-06,1.92E-05,0,0,1.01E-05,0,7.01E-06,1.39E-05
