gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
FBXO15,0,0,6.45E-07,0,0
FBXO16,0,5.43E-06,0,0,0
FBXO17,0,0,0,0,0
FBXO2,5.03E-06,7.54E-06,1.94E-06,7.11E-06,0
FBXO21,5.80E-05,3.80E-05,0.0001237,9.18E-05,5.13E-05
FBXO22,0.000107095,5.28E-05,8.45E-05,8.21E-05,3.06E-05
FBXO24,0,0,0,5.47E-06,8.75E-06
FBXO25,7.44E-05,4.92E-05,5.96E-05,4.70E-05,2.29E-05
FBXO27,8.62E-06,0,0,0,0
FBXO28,1.66E-05,7.03E-07,1.54E-05,2.52E-05,6.02E-06
FBXO3,7.04E-05,5.31E-05,0.000187114,7.44E-05,5.37E-05
FBXO30,6.11E-06,4.81E-05,4.57E-05,2.14E-06,7.24E-05
FBXO31,3.29E-06,7.03E-07,6.45E-07,7.31E-06,0
FBXO32,0,0,2.92E-05,8.79E-05,8.84E-05
FBXO33,1.10E-06,8.34E-06,2.16E-05,1.55E-05,8.22E-05
FBXO34,4.17E-05,9.20E-05,0.000125793,0.000201751,3.33E-05
FBXO36,2.51E-06,7.03E-07,6.45E-07,1.49E-05,1.50E-06
FBXO38,2.50E-05,1.50E-05,2.25E-05,4.80E-05,1.49E-05
FBXO39,0,0,0,0,0
FBXO4,0,6.83E-06,8.92E-06,6.13E-06,0
FBXO40,3.29E-06,1.41E-06,0,0,0
FBXO41,2.25E-05,2.81E-06,3.87E-06,4.33E-06,3.80E-05
FBXO42,1.36E-05,2.57E-05,1.83E-05,5.67E-05,2.56E-05
FBXO43,2.51E-06,0,1.22E-05,4.41E-06,0
FBXO44,0,9.94E-06,5.70E-06,3.61E-06,4.03E-05
FBXO45,1.10E-06,5.72E-05,9.99E-06,2.54E-05,6.02E-06
FBXO46,1.22E-05,1.83E-05,3.66E-05,4.10E-05,1.50E-06
FBXO47,0,0,0,2.39E-06,0
FBXO48,1.80E-05,2.71E-06,1.23E-05,2.20E-05,0
FBXO5,1.37E-05,2.89E-05,9.71E-06,5.45E-06,2.62E-05
FBXO6,2.42E-05,1.07E-05,2.39E-05,1.95E-05,0
FBXO7,9.03E-05,7.20E-05,4.54E-05,7.17E-05,7.52E-05
FBXO8,2.19E-06,2.71E-06,1.70E-05,2.78E-05,7.76E-06
FBXO9,0.000161879,9.80E-05,0.000121419,0.000175976,0.00079909
FBXW10,9.17E-06,7.03E-07,1.29E-06,0,0
FBXW11,7.44E-05,4.91E-05,0.000106701,0.000124189,0.000200696
FBXW12,1.62E-05,0,0,1.47E-06,1.50E-06
FBXW2,7.12E-05,4.51E-05,4.66E-05,6.54E-05,1.34E-05
FBXW4,4.81E-05,2.25E-05,1.20E-05,4.74E-05,1.23E-05
FBXW5,5.36E-05,0.000118667,7.51E-05,0.000124469,9.47E-05
FBXW7,4.08E-05,1.60E-05,4.93E-05,2.12E-05,3.62E-05
FBXW8,7.54E-06,4.12E-06,5.05E-06,5.01E-06,3.01E-06
FBXW9,0,0,2.47E-06,1.14E-05,3.01E-06
FCAMR,5.03E-06,0,0,2.73E-06,1.50E-06
FCAR,1.68E-05,3.42E-06,1.34E-05,1.31E-06,0
FCER1A,0,0,6.45E-07,0,0
FCER1G,5.15E-05,6.03E-05,0.000124509,2.94E-05,5.42E-05
FCER2,0,2.71E-06,0,0,0
FCF1,2.37E-05,2.54E-05,1.19E-05,3.22E-05,2.69E-05
FCGR1A,1.10E-06,0,0,0,7.64E-06
FCGR1B,0,0,1.94E-06,1.35E-06,1.06E-05
FCGR1CP,0,0,6.45E-07,0,3.01E-06
FCGR2A,1.76E-05,7.54E-06,4.45E-05,1.96E-05,4.20E-05
FCGR2B,2.19E-06,6.13E-06,1.23E-05,1.47E-06,6.40E-05
FCGR3A,5.02E-06,2.68E-05,2.47E-06,6.13E-06,9.15E-06
FCGR3B,0,1.14E-05,0,0,3.01E-06
FCGRT,6.40E-05,0.000168956,0.000148571,0.000121713,8.68E-05
FCHO1,0,0,2.56E-05,9.58E-06,4.63E-06
FCHO2,0.000108354,6.19E-05,0.000247471,0.000127227,0.000156705
FCHSD1,1.62E-05,0,6.99E-06,1.33E-05,1.90E-05
FCHSD2,3.20E-05,6.08E-05,3.72E-05,3.71E-05,1.98E-05
FCMR,2.51E-06,1.41E-06,2.12E-05,7.34E-06,2.62E-05
FCN1,2.51E-06,2.23E-05,3.83E-05,7.86E-06,2.21E-05
FCN2,1.94E-05,1.63E-05,0,6.76E-07,0
FCN3,0.000201862,9.68E-05,6.77E-06,3.86E-06,0
FCRL1,0,1.07E-05,0,0,0
FCRL2,6.11E-06,1.06E-05,0,2.73E-06,0
FCRL3,0,7.03E-07,0,0,0
FCRL4,5.63E-06,0,0,6.76E-07,0
FCRL5,0,0,0,0,0
FCRL6,0,0,0,0,0
FCRLA,0,9.94E-06,0,0,0
