gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
STARD8,1.781139122380552e-05,4.823741230357837e-06,4.2974908698943446e-06,3.4535481587514026e-06,9.0259767611185e-06
STARD9,2.4858039303195116e-05,2.1100370241163164e-06,2.8650529038897575e-05,6.232371729268362e-06,0.0
STAT1,6.502945910293642e-05,0.0001214074258299258,0.0001224160148873525,7.89142941054125e-05,0.0002289579313995561
STAT2,9.06950351551744e-05,8.303095525977815e-05,6.636891758720306e-05,9.088193691906094e-05,0.0001501803059158503
STAT3,0.0004181720015170632,0.00029371710260066574,0.0001957602274433215,0.00012913437047235764,0.00018623179739459407
STAT4,5.154897280309696e-05,2.7832189884020786e-05,0.0001796846235835158,1.0407152741617853e-05,5.466265042477273e-05
STAT5A,1.9346111137542028e-05,1.756693795362534e-05,1.7943732266949894e-05,2.566702659480325e-05,1.5043294601864166e-06
STAT5B,2.6332372722356652e-05,3.104168492670742e-05,3.3717815275988805e-05,6.6514765936265e-05,9.479984461661086e-05
STAT6,0.0005421532742614554,0.000574564775729833,0.0010737352309762708,0.00033371995355020197,0.0006984721583577126
STATH,0.0,0.0,6.450031605154866e-07,0.0,0.0
STAU1,0.0001467152384991062,0.00012493825649100758,9.244993502557581e-05,8.518191992283987e-05,5.1822489803623705e-05
STAU2,4.071960616901809e-05,1.1857197977412225e-05,4.803928449512424e-05,8.472467196472811e-05,6.254223568356935e-05
STC1,5.018002082470864e-06,0.0,1.4111528566048075e-05,3.527556058839802e-05,0.00010042968525191631
STC2,0.0,7.033456747054389e-07,6.450031605154866e-07,1.3529401418693032e-06,3.1279715729943444e-06
STEAP1,1.004957520380725e-05,2.1100370241163164e-06,1.633501966597453e-05,4.9186431080774206e-05,1.528191990710719e-05
STEAP1B,0.00010418717941111944,8.353754557577917e-05,0.00020679640932172734,7.928086454295827e-05,0.0002587867645629862
STEAP2,9.52006036737333e-05,9.043815278590469e-06,9.566281780875268e-06,8.204112934785153e-05,1.365827779429926e-05
STEAP3,4.9826118711320105e-05,3.2359497263093976e-05,3.7612533362358885e-06,1.2418745952649521e-05,0.0
STEAP4,9.174751081120178e-05,1.6174348891769033e-05,2.3639995084732243e-05,3.3024585402144926e-05,3.388125104584944e-05
STIL,0.0,2.1100370241163164e-06,1.529276926022202e-05,8.880184712924545e-06,0.0
STIM1,4.9065136355743346e-05,3.445873480765438e-05,3.70355701255989e-05,5.1973043289760176e-05,3.5266267853414346e-05
STIM2,1.5350624715602264e-05,1.6176950518225092e-05,2.8837835631047236e-05,5.8750874503102404e-05,6.028144254921033e-05
STIMATE-MUSTN1,1.8370567907058408e-05,9.747160953295908e-06,6.87750351195629e-06,3.653670668756532e-06,9.145289413740011e-06
STING1,2.0385642865111617e-05,3.745477057762598e-05,3.3127735900314884e-05,2.5601231299383917e-05,8.681814248151027e-05
